id,status,name,intersection,direction,street_segments
34,Operating,Lake St,Lake St & 02nd Ave,east-west,"02nd Ave, 03rd Ave, 04th Ave, 05th Ave, 06th Ave, 07th Ave, 08th Ave, 09th Ave, 10th Ave, 11th Ave, 12th Ave, Funston Ave, Park Presidio Blvd, 14th Ave, 15th Ave, 16th Ave, 17th Ave, 18th Ave, 19th Ave, 20th Ave, 21st Ave, 22nd Ave, 23rd Ave, 24th Ave, 25th Ave, 26th Ave, 27th Ave"
35,Operating,Lake St,Lake St & 28th Ave,east-west,"02nd Ave, 03rd Ave, 04th Ave, 05th Ave, 06th Ave, 07th Ave, 08th Ave, 09th Ave, 10th Ave, 11th Ave, 12th Ave, Funston Ave, Park Presidio Blvd, 14th Ave, 15th Ave, 16th Ave, 17th Ave, 18th Ave, 19th Ave, 20th Ave, 21st Ave, 22nd Ave, 23rd Ave, 24th Ave, 25th Ave, 26th Ave, 27th Ave"
36,Operating,Lombard St,Lombard St & Powell St,east-west,Powell St
37,Operating,Lombard St,Lombard St & Mason St,east-west,Powell St
38,Operating,Mariposa St,Mariposa St & Mississippi St,east-west,"Mississippi St, Texas St, Missouri St, Connecticut St, Arkansas St, Carolina St, De Haro St, Rhode Island St"
39,Operating,Mariposa St,Mariposa St & Kansas St,east-west,"Mississippi St, Texas St, Missouri St, Connecticut St, Arkansas St, Carolina St, De Haro St, Rhode Island St"
40,Operating,Noe St,Noe St & Duboce Ave,north-south,"Duboce Ave, 14th St, Henry St, 15th St"
41,Operating,Noe St,Noe St & Beaver St,north-south,"Duboce Ave, 14th St, Henry St, 15th St"
42,Operating,Noe St,Noe St & 17th St,north-south,"17th St, Ford St"
43,Operating,Noe St,Noe St & 18th St,north-south,"17th St, Ford St"
44,Operating,Ortega St,Ortega St & 15th Ave,east-west,"15th Ave, 16th Ave, 17th Ave, Anglo Aly, 18th Ave, 19th Ave, 20th Ave, 21st Ave, 22nd Ave, 23rd Ave, 24th Ave, 25th Ave, 26th Ave, 27th Ave, 28th Ave, 29th Ave, 30th Ave, 31st Ave, 32nd Ave, 33rd Ave, 34th Ave, 35th Ave, 36th Ave, Sunset Blvd, 37th Ave, 38th Ave, 39th Ave, 40th Ave, 41st Ave, 42nd Ave, 43rd Ave, 44th Ave, 45th Ave, 46th Ave"
45,Operating,Ortega St,Ortega St & 47th Ave,east-west,"15th Ave, 16th Ave, 17th Ave, Anglo Aly, 18th Ave, 19th Ave, 20th Ave, 21st Ave, 22nd Ave, 23rd Ave, 24th Ave, 25th Ave, 26th Ave, 27th Ave, 28th Ave, 29th Ave, 30th Ave, 31st Ave, 32nd Ave, 33rd Ave, 34th Ave, 35th Ave, 36th Ave, Sunset Blvd, 37th Ave, 38th Ave, 39th Ave, 40th Ave, 41st Ave, 42nd Ave, 43rd Ave, 44th Ave, 45th Ave, 46th Ave"
46,Operating,Pacific Ave,Pacific Ave & Gough St,east-west,"Gough St, Octavia St, Laguna St, Buchanan St, Webster St, Fillmore St"
47,Operating,Pacific Ave,Pacific Ave & Steiner St,east-west,"Gough St, Octavia St, Laguna St, Buchanan St, Webster St, Fillmore St"
48,Operating,Page St,Page St & Gough St,east-west,"Gough St, Octavia St, Laguna St, Buchanan St, Webster St, Fillmore St, Steiner St, Pierce St, Scott St, Divisadero St, Broderick St, Baker St, Lyon St, Central Ave, Masonic Ave, Ashbury St, Clayton St, Cole St, Shrader St"
49,Operating,Page St,Page St & Stanyan St,east-west,"Gough St, Octavia St, Laguna St, Buchanan St, Webster St, Fillmore St, Steiner St, Pierce St, Scott St, Divisadero St, Broderick St, Baker St, Lyon St, Central Ave, Masonic Ave, Ashbury St, Clayton St, Cole St, Shrader St"
50,Operating,Sanchez St,Sanchez St & 23rd St,north-south,"23rd St, Elizabeth St, 24th St, Jersey St, 25th St, Clipper St, 26th St, Cesar Chavez St, 27th St, Duncan St, 28th St, Valley St, 29th St, Day St"
51,Operating,Sanchez St,Sanchez St & 30th St,north-south,"23rd St, Elizabeth St, 24th St, Jersey St, 25th St, Clipper St, 26th St, Cesar Chavez St, 27th St, Duncan St, 28th St, Valley St, 29th St, Day St"
52,Operating,Shotwell St,Shotwell St & 14th St,north-south,"14th St, 15th St, 16th St, 17th St, 18th St, 19th St, 20th St, 21st St, 22nd St, 23rd St, 24th St, 25th St, 26th St"
53,Operating,Shotwell St,Shotwell St & Cesar Chavez St,north-south,"14th St, 15th St, 16th St, 17th St, 18th St, 19th St, 20th St, 21st St, 22nd St, 23rd St, 24th St, 25th St, 26th St"
54,Operating,Somerset St,Somerset St & Silver Ave,north-south,"Silver Ave, Silliman St, Felton St, Burrows St, Bacon St, Wayland St"
55,Operating,Somerset St,Somerset St & Woolsey St,north-south,"Silver Ave, Silliman St, Felton St, Burrows St, Bacon St, Wayland St"
56,Operating,Tompkins Ave,Tompkins Ave & Andover St,west-east,"Andover St, Moultrie St, Anderson St, Ellsworth St, Gates St, Folsom St, Banks St, Prentiss St, Nevada St"
57,Operating,Tompkins Ave,Tompkins Ave & Putnam St,west-east,"Andover St, Moultrie St, Anderson St, Ellsworth St, Gates St, Folsom St, Banks St, Prentiss St, Nevada St"
58,Proposed,Cayuga Ave,Cayuga Ave & Rousseau St,north-south,"Rousseau St, Rotteck St, Lyell St, Danton St, Lamartine St, Badger St, Gorham St, Tingley St, Theresa St, Cotter St, Santa Rosa Ave, San Juan Ave, Santa Ynez Ave, Ocean Ave, Valerton CT, Onondaga Ave, Balhi Ct, Oneida Ave, Sunbeam Ln, Junior Ter, Seneca Ave, Navajo Ave, Geneva Ave, Seminole Ave, Niagara Ave, Shawnee Ave, Mount Vernon Ave, Ottawa Ave, Rome St, Foote Ave, Modoc Ave, Naglee Ave"
59,Proposed,Cayuga Ave,Cayuga Ave & Naglee Ave,north-south,"Rousseau St, Rotteck St, Lyell St, Danton St, Lamartine St, Badger St, Gorham St, Tingley St, Theresa St, Cotter St, Santa Rosa Ave, San Juan Ave, Santa Ynez Ave, Ocean Ave, Valerton CT, Onondaga Ave, Balhi Ct, Oneida Ave, Sunbeam Ln, Junior Ter, Seneca Ave, Navajo Ave, Geneva Ave, Seminole Ave, Niagara Ave, Shawnee Ave, Mount Vernon Ave, Ottawa Ave, Rome St, Foote Ave, Modoc Ave, Naglee Ave"
60,Proposed,12th Ave,12th Ave & Lincoln Way,north-south,"Lincoln Way, Irving St, Judah St, Kirkham St, Lawton St, Moraga St"
61,Proposed,12th Ave,12th Ave & Noriega St,north-south,"Lincoln Way, Irving St, Judah St, Kirkham St, Lawton St, Moraga St"
62,Proposed,Armstrong Ave,Armstrong Ave & Kalmanovitz St ,circle,Kalmanovitz St
